(2191,21606)
(8771,124799)
(16601,266365)
(22060,411116)
(23098,429710)
(24739,478263)
(31524,676424)
(36702,790548)
(38779,931064)
(40523,1029007)
(44193,1222518)
(53611,1703029)
(56392,1882145)
(56452,1887069)
(60836,2019158)
(61147,2032605)
(68087,2340587)
(68753,2415648)
(72406,2485814)
(72958,2544076)
(78567,3214558)
(79108,3252829)
(82527,3506466)
(87644,3729369)
(87864,3751608)
(89883,3847572)
(95759,4371878)
(96273,4434369)
(97100,4520635)
(98236,4647656)
(99243,4720067)
(101170,4859151)
(105583,5055099)
(106369,5101346)
(106836,5158913)
(107874,5265874)
(109047,5312938)
(113120,5627043)
(113634,5714378)
(116656,5850932)
(118301,6009846)
(119342,6060110)
(119565,6089327)
(123095,6165242)
(134009,6337213)
(134088,6342880)
(134113,6345826)
(135013,6388035)
(150595,6989813)
(151228,7046280)
(153990,7165442)
(156200,7339821)
(169646,7622189)
(170756,7695571)
(171691,7814054)
(171956,7837954)
(173638,7905901)
(174464,7979483)
(174546,7986079)
(175376,8029051)
(176980,8104445)
(177842,8252353)
(178548,8296247)
(179386,8371285)
(179852,8443448)
(181991,8719070)
(182775,8788646)
(183379,8820437)
(184127,9016038)
(185250,9178271)
(186266,9277733)
(186447,9280951)
(189338,9539678)
(190705,9685841)
(191705,9893301)
(193740,10051918)
(194566,10171017)
(194671,10185674)
(195608,10307387)
(198631,10743896)
(198938,10775333)
(201498,10805622)
(201915,10872274)
(202917,11037599)
(204520,11109184)
(204551,11116993)
(205603,11160971)
(205638,11171520)
(206442,11225439)
(232681,12385446)
(233794,12563921)
(235549,12691724)
(236104,12737528)
(236706,12852950)
(238288,13020572)
(238874,13069512)
(238986,13112196)
(240017,13340700)
(257610,13609478)
(285963,14548011)
